0.000070, 0.006970, 20
0.000220, 0.007525, 20
0.000664, 0.022199, 20
0.001453, 0.039457, 20
0.002686, 0.061635, 20
0.004460, 0.088717, 20
0.006874, 0.120683, 20
0.010024, 0.157505, 20
0.014007, 0.199143, 20
0.018918, 0.245548, 20
0.024851, 0.296658, 20
0.031899, 0.352398, 20
0.040153, 0.412674, 20
0.049700, 0.477379, 20
0.060628, 0.546384, 20
0.073019, 0.619540, 20
0.086952, 0.696676, 20
0.102504, 0.777597, 20
0.119746, 0.862083, 20
0.138743, 0.949886, 20
0.159558, 1.040734, 20
0.182245, 1.134324, 20
0.206851, 1.230330, 20
0.233419, 1.328402, 20
0.261937, 1.425900, 20
0.292343, 1.520292, 20
0.324571, 1.611421, 20
0.358555, 1.699177, 20
0.394226, 1.783526, 20
0.431516, 1.864524, 20
0.470363, 1.942352, 20
0.510710, 2.017344, 20
0.552510, 2.090020, 20
0.595733, 2.161128, 20
0.640366, 2.231672, 20
0.686425, 2.302938, 20
0.733955, 2.376509, 20
0.783040, 2.454255, 20
0.833806, 2.538293, 20
0.886425, 2.630918, 20
0.941114, 2.734491, 20
0.998140, 2.851299, 20
1.057808, 2.983393, 20
1.120457, 3.132421, 20
1.186446, 3.299490, 20
1.256104, 3.482901, 20
1.329704, 3.679962, 20
1.407488, 3.889226, 20
1.489661, 4.108626, 20
1.576374, 4.335676, 20
1.667728, 4.567690, 20
1.763768, 4.801984, 20
1.864489, 5.036043, 20
1.969841, 5.267633, 20
2.079739, 5.494878, 20
2.194064, 5.716275, 20
2.312678, 5.930695, 20
2.435425, 6.137354, 20
2.562141, 6.335766, 20
2.692655, 6.525709, 20
2.826798, 6.707170, 20
2.964404, 6.880315, 20
3.105313, 7.045444, 20
3.249373, 7.202967, 20
3.396440, 7.353380, 20
3.546385, 7.497238, 20
3.699088, 7.635139, 20
3.854440, 7.767592, 20
4.012270, 7.891536, 20
4.172420, 8.007471, 20
4.334810, 8.119524, 20
4.499374, 8.228179, 20
4.666050, 8.333800, 20
4.834782, 8.436582, 20
5.005511, 8.536488, 20
5.178175, 8.633176, 20
5.352693, 8.725905, 20
5.528962, 8.813455, 20
5.706843, 8.894034, 20
5.886147, 8.965217, 20
6.066626, 9.023936, 20
6.247956, 9.066528, 20
6.429734, 9.088893, 20
6.611469, 9.086752, 20
6.792589, 9.056013, 20
6.972453, 8.993185, 20
7.150369, 8.895796, 20
7.325623, 8.762707, 20
7.497509, 8.594275, 20
7.665355, 8.392303, 20
7.828551, 8.159804, 20
7.986567, 7.900794, 20
8.139057, 7.624494, 20
8.285853, 7.339804, 20
8.426860, 7.050374, 20
8.562046, 6.759304, 20
8.691428, 6.469089, 20
8.815061, 6.181631, 20
8.933027, 5.898299, 20
9.045427, 5.620006, 20
9.152373, 5.347293, 20
9.253981, 5.080415, 20
9.350369, 4.819410, 20
9.441652, 4.564160, 20
9.517535, 3.794111, 20
9.580987, 3.172638, 20
9.641095, 3.005366, 20
9.697857, 2.838095, 20
9.751273, 2.670823, 20
9.801344, 2.503552, 20
9.848070, 2.336280, 20
9.891450, 2.169009, 20
9.931487, 2.001852, 20
9.968253, 1.838296, 20
10.001887, 1.681709, 20
10.032529, 1.532091, 20
10.060318, 1.389444, 20
10.085393, 1.253766, 20
10.107894, 1.125057, 20
10.127961, 1.003318, 20
10.145732, 0.888549, 20
10.161347, 0.780750, 20
10.174945, 0.679920, 20
10.186666, 0.586060, 20
10.196649, 0.499169, 20
10.205034, 0.419248, 20
10.211960, 0.346297, 20
10.217567, 0.280315, 20
10.221993, 0.221304, 20
10.225378, 0.169261, 20
10.227862, 0.124189, 20
10.229583, 0.086085, 20
10.230683, 0.054952, 20
10.231298, 0.030788, 20
10.231570, 0.013594, 20
10.231638, 0.003370, 20
10.231638, 0.000000, 20
