0.000070, 0.006970, 20
0.000383, 0.015670, 20
0.001194, 0.040528, 20
0.002635, 0.072057, 20
0.004887, 0.112606, 20
0.008131, 0.162190, 20
0.012547, 0.220829, 20
0.018318, 0.288553, 20
0.025626, 0.365399, 20
0.034655, 0.451416, 20
0.045588, 0.546668, 20
0.058613, 0.651231, 20
0.073917, 0.765195, 20
0.091690, 0.888671, 20
0.112126, 1.021785, 20
0.135419, 1.164688, 20
0.161770, 1.317549, 20
0.191382, 1.480565, 20
0.224461, 1.653954, 20
0.261220, 1.837965, 20
0.301878, 2.032870, 20
0.346657, 2.238971, 20
0.395789, 2.456595, 20
0.449511, 2.686090, 20
0.507973, 2.923128, 20
0.571239, 3.163269, 20
0.639372, 3.406673, 20
0.712441, 3.653446, 20
0.790513, 3.903624, 20
0.873656, 4.157150, 20
0.961933, 4.413842, 20
1.055401, 4.673367, 20
1.154105, 4.935203, 20
1.258077, 5.198603, 20
1.367328, 5.462564, 20
1.481844, 5.725797, 20
1.601578, 5.986722, 20
1.726448, 6.243469, 20
1.856326, 6.493922, 20
1.991042, 6.735788, 20
2.130376, 6.966707, 20
2.274064, 7.184396, 20
2.421800, 7.386806, 20
2.573246, 7.572289, 20
2.728041, 7.739743, 20
2.885719, 7.883897, 20
3.045728, 8.000477, 20
3.207547, 8.090928, 20
3.370693, 8.157316, 20
3.534736, 8.202125, 20
3.699296, 8.228039, 20
3.864051, 8.237737, 20
4.028726, 8.233735, 20
4.193091, 8.218260, 20
4.356955, 8.193192, 20
4.520156, 8.160028, 20
4.682553, 8.119897, 20
4.844025, 8.073585, 20
5.004457, 8.021574, 20
5.163738, 7.964089, 20
5.321761, 7.901141, 20
5.478413, 7.832565, 20
5.633574, 7.758059, 20
5.787118, 7.677215, 20
5.938909, 7.589537, 20
6.088798, 7.494469, 20
6.236626, 7.391413, 20
6.382219, 7.279631, 20
6.525323, 7.155212, 20
6.665681, 7.017888, 20
6.803091, 6.870499, 20
6.937342, 6.712562, 20
7.068216, 6.543712, 20
7.195492, 6.363754, 20
7.318946, 6.172724, 20
7.438365, 5.970965, 20
7.553550, 5.759215, 20
7.664324, 5.538699, 20
7.770548, 5.311208, 20
7.872131, 5.079169, 20
7.969044, 4.845654, 20
8.061331, 4.614330, 20
8.149117, 4.389302, 20
8.232614, 4.174853, 20
8.312116, 3.975082, 20
8.387985, 3.793483, 20
8.460636, 3.632532, 20
8.530503, 3.493365, 20
8.598016, 3.375627, 20
8.663566, 3.277509, 20
8.727486, 3.195995, 20
8.790032, 3.127291, 20
8.851414, 3.069141, 20
8.911802, 3.019378, 20
8.971289, 2.974350, 20
9.029908, 2.930954, 20
9.087642, 2.886696, 20
9.144435, 2.839671, 20
9.200206, 2.788512, 20
9.254852, 2.732308, 20
9.308262, 2.670516, 20
9.360320, 2.602884, 20
9.410907, 2.529373, 20
9.459909, 2.450103, 20
9.517608, 2.884937, 20
9.581061, 3.172638, 20
9.641168, 3.005366, 20
9.697930, 2.838095, 20
9.751347, 2.670823, 20
9.801418, 2.503552, 20
9.848143, 2.336280, 20
9.891523, 2.169009, 20
9.931560, 2.001852, 20
9.968326, 1.838296, 20
10.001961, 1.681709, 20
10.032602, 1.532091, 20
10.060391, 1.389444, 20
10.085467, 1.253766, 20
10.107968, 1.125057, 20
10.128034, 1.003318, 20
10.145805, 0.888549, 20
10.161420, 0.780750, 20
10.175018, 0.679920, 20
10.186740, 0.586060, 20
10.196723, 0.499169, 20
10.205108, 0.419248, 20
10.212034, 0.346297, 20
10.217640, 0.280315, 20
10.222066, 0.221304, 20
10.225452, 0.169261, 20
10.227935, 0.124189, 20
10.229657, 0.086085, 20
10.230756, 0.054952, 20
10.231372, 0.030788, 20
10.231644, 0.013594, 20
10.231711, 0.003370, 20
10.231711, 0.000000, 20
